장소타입,시나리오,대화순서,화자,중국어,한국어,병음,단어,,
hospital,1. 挂号缴费 (접수 및 결제),1,病人,你好，我要挂号。,안녕하세요 접수하고 싶어요,nǐhǎo wǒ yào guàhào,挂号=접수하다,,
hospital,1. 挂号缴费 (접수 및 결제),2,工作人员,您有预约吗？,예약하셨나요?,nín yǒu yùyuē ma?,预约=예약,,
hospital,1. 挂号缴费 (접수 및 결제),3,病人,没有预约，现场挂号。,예약 안 했어요. 현장 접수요.,"méiyǒu yùyuē, xiànchǎng guàhào",现场=현장,,
hospital,1. 挂号缴费 (접수 및 결제),4,工作人员,请出示身份证和医保卡。,신분증과 의료보험카드 보여주세요.,qǐng chūshì shēnfènzhèng hé yībǎokǎ,出示=제시 | 身份证=신분증 | 医保卡=의료보험카드,,
hospital,1. 挂号缴费 (접수 및 결제),5,病人,好的。挂哪个科？,네. 어떤 과로 할까요?,hǎo de. guà nǎge kē?,科=과,,
hospital,1. 挂号缴费 (접수 및 결제),6,工作人员,您哪里不舒服？,어디가 불편하세요?,nín nǎlǐ bù shūfu?,不舒服=불편하다,,
hospital,1. 挂号缴费 (접수 및 결제),7,病人,我发烧、咳嗽。,열나고 기침해요,"wǒ fāshāo, kēsou",发烧=열나다 | 咳嗽=기침하다,,
hospital,1. 挂号缴费 (접수 및 결제),8,工作人员,挂内科。挂号费15元。,내과로 접수합니다. 15위안이에요.,guà nèikē. guàhàofèi shíwǔ yuán,内科=내과 | 挂号费=접수비,,
hospital,2. 看病问诊 (진료),1,医生,请坐。哪里不舒服？,앉으세요. 어디가 불편하세요?,qǐng zuò. nǎlǐ bù shūfu?,医生=의사,,
hospital,2. 看病问诊 (진료),2,病人,我头疼，还有点恶心。,머리 아프고 좀 메스꺼워요.,"wǒ tóuténg, hái yǒudiǎn ěxīn",头疼=두통 | 恶心=메스꺼움,,
hospital,2. 看病问诊 (진료),3,医生,多久了？发烧吗？,얼마나 됐어요? 열 나요?,duōjiǔ le? fāshāo ma?,多久=얼마나,,
hospital,2. 看病问诊 (진료),4,病人,两天了。昨天开始发烧。,이틀이에요. 어제부터 열 났어요.,liǎng tiān le. zuótiān kāishǐ fāshāo,开始=시작하다,,
hospital,2. 看病问诊 (진료),5,医生,我给你量一下体温。,체온 재볼게요.,wǒ gěi nǐ liáng yīxià tǐwēn,量=재다 | 体温=체온,,
hospital,2. 看病问诊 (진료),6,病人,好的，医生。,"네, 선생님.","hǎo de, yīshēng",,,
hospital,2. 看病问诊 (진료),7,医生,38.5度。需要做个血常规检查。,38.5도네요. 혈액검사 해야 해요.,sānshíbā diǎn wǔ dù. xūyào zuò ge xuè chángguī jiǎnchá,度=도 | 血常规=혈액검사 | 检查=검사,,
hospital,3. 检查化验 (검사),1,护士,请到抽血室抽血。,채혈실로 가서 피 뽑으세요.,qǐng dào chōuxiěshì chōuxiě,抽血=채혈 | 护士=간호사,,
hospital,3. 检查化验 (검사),2,病人,需要空腹吗？,공복이어야 하나요?,xūyào kōngfù ma?,空腹=공복 | 需要=필요하다,,
hospital,3. 检查化验 (검사),3,护士,不需要。请把袖子卷起来。,필요 없어요. 소매 걷어주세요.,bù xūyào. qǐng bǎ xiùzi juǎn qǐlai,袖子=소매 | 卷=걷다,,
hospital,3. 检查化验 (검사),4,病人,会很疼吗？,많이 아플까요?,huì hěn téng ma?,疼=아프다,,
hospital,3. 检查化验 (검사),5,护士,一点点，很快就好。,조금만요. 금방 끝나요.,"yīdiǎndiǎn, hěn kuài jiù hǎo",一点点=조금 | 很快=빨리,,
hospital,3. 检查化验 (검사),6,病人,什么时候出结果？,언제 결과 나와요?,shénme shíhou chū jiéguǒ?,结果=결과,,
