no,장소(영문),장소(한글),Scenario,순서,화자,내용,TTS,발음,영어,
1,1100highland,1100고지,1. Inquiry,1,Customer,안녕하세요. 여기 1100고지 산책로 까지는 얼마나 걸려요?,안녕하세요. 여기 1100고지 산책로 까지는 얼마나 걸려요?,an-nyeong-ha-se-yo. yeo-gi 1100go-ji san-chaeng-no kka-ji-neun eol-ma-na geol-lyeo-yo?,Hello. How long does it take to get to the 1100m high mountain trail?,
2,1100highland,1100고지,1. Inquiry,2,Staff,보통 왕복 30~40분 정도 걸려요. 길이 잘 되어 있어서 어렵지 않아요.,보통 왕복 30~40분 정도 걸려요. 길이 잘 되어 있어서 어렵지 않아요.,bo-tong wang-bok 30~40bun jeong-do geol-lyeo-yo. gi-ri jal doe-eo i-sseo-seo eo-ryeop-jji a-na-yo.,"It usually takes about 30 to 40 minutes round trip. The road is well-maintained, so it's not difficult.",
3,1100highland,1100고지,1. Inquiry,3,Customer,"아, 그래요? 눈이 와도 괜찮을까요?","아, 그래요? 눈이 와도 괜찮을까요?","a, geu-rae-yo? nu-ni wa-do gwaen-cha-neul-kka-yo?","Oh, really? Is it okay even if it snows?",
4,1100highland,1100고지,1. Inquiry,4,Staff,"네, 다만 조금 미끄러운 구간이 있으니, 조심해서 걸으시면 돼요.","네, 다만 조금 미끄러운 구간이 있으니, 조심해서 걸으시면 돼요.","ne, da-man jo-geum mi-kkeu-reo-un gu-ga-ni i-sseu-ni, jo-sim-hae-seo geo-reu-si-myeon dwae-yo.","Yes, but there are some slightly slippery sections, so please be careful when walking.",
5,1100highland,1100고지,1. Inquiry,5,Customer,"네, 감사합니다.","네, 감사합니다.","ne, gam-sa-ham-ni-da.",Thank you.,
6,1100highland,1100고지,2-1. Transportation,1,Customer,실례합니다. 여기서 시내로 가는 버스는 어디서 타나요?,실례합니다. 여기서 시내로 가는 버스는 어디서 타나요?,sil-lye-ham-ni-da. yeo-gi-seo si-nae-ro ga-neun beo-seu-neun eo-di-seo ta-na-yo?,Excuse me. Where can I catch the bus to downtown from here?,
7,1100highland,1100고지,2-1. Transportation,2,Staff,건물 앞쪽 도로에서 시외버스가 정차합니다. 가시면 표지판이 있어요.,건물 앞쪽 도로에서 시외버스가 정차합니다. 가시면 표지판이 있어요.,geon-mul ap-jjok do-ro-e-seo si-oe-beo-seu-ga jeong-cha-ham-ni-da. ga-si-myeon pyo-ji-pa-ni i-sseo-yo.,The intercity bus stops on the road in front of the building. There's a sign there.,
8,1100highland,1100고지,2-1. Transportation,3,Customer,버스는 자주와요?,버스는 자주와요?,beo-seu-neun ja-ju-wa-yo?,Does the bus come often?,
9,1100highland,1100고지,2-1. Transportation,4,Staff,20~30분 간격으로 와요.,20~30분 간격으로 와요.,20~30bun gan-gyeo-geu-ro wa-yo.,They come every 20 to 30 minutes.,
10,1100highland,1100고지,2-1. Transportation,5,Customer,택시도 부를 수 있어요?,택시도 부를 수 있어요?,taek-ssi-do bu-reul su i-sseo-yo?,Can you call a taxi too?,
